variant_name,query_pair_id,query_subject,query_task,query_side,query_quality,true_medon_quality,true_medon_rank,top_ranked_candidate_pair_id,top_ranked_candidate_subject,top_ranked_candidate_task,top_ranked_candidate_side,top_ranked_candidate_quality,top_ranked_is_true_pair,distance_to_true_medon,distance_to_nearest_distractor,retrieval_margin,candidate_set_size,chance_top1,reciprocal_rank,percentile_rank,failure_type
v2A_top5_aperiodic_rerank,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,good,1,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,True,-1.897191438701241,-0.9040752036982391,0.9931162350030018,7,0.14285714285714285,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good,good,1,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good,True,-1.3448206754507785,-1.0708160753901657,0.2740046000606129,10,0.1,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good,good,1,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good,True,-1.5571889248556776,-1.2176282389749535,0.3395606858807241,7,0.14285714285714285,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,good,1,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,True,-2.2989019507688795,-0.40085702395384304,1.8980449268150363,10,0.1,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,good,good,3,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good,False,0.6588091431937372,-1.1539929939471285,-1.8128021371408658,3,0.3333333333333333,0.3333333333333333,0.0,other_subject_same_task_side
v2A_top5_aperiodic_rerank,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,low_quality,low_quality,4,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good,False,1.3267572978828972,-0.6361473029879016,-1.9629046008707989,4,0.25,0.25,0.0,quality_related
v2A_top5_aperiodic_rerank,sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,low_quality,low_quality,1,sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,low_quality,True,-1.1936027558695645,-0.8282089723424175,0.365393783527147,12,0.08333333333333333,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,good,1,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,True,-2.597678795199857,0.18939923531467073,2.7870780305145275,10,0.1,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good,good,1,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good,True,-2.148629527775697,-0.2455726793861287,1.9030568483895682,7,0.14285714285714285,1.0,1.0,success
v2A_top5_aperiodic_rerank,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good,good,1,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good,True,-2.3183701468970783,-0.25717562228069124,2.061194524616387,10,0.1,1.0,1.0,success
