candidate_pool_condition,variant_name,query_pair_id,query_subject,query_task,query_side,query_quality,true_medon_quality,true_medon_rank,top_ranked_candidate_pair_id,top_ranked_candidate_subject,top_ranked_candidate_task,top_ranked_candidate_side,top_ranked_candidate_quality,top_ranked_is_true_pair,distance_to_true_medon,distance_to_nearest_distractor,retrieval_margin,candidate_set_size,chance_top1,reciprocal_rank,percentile_rank,failure_type
original_frozen_matched_pool,v2_reference,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,good,1,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,True,0.05495877352468829,0.30086184243975084,0.24590306891506256,7,0.14285714285714285,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good,good,1,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good,True,0.05944784815426929,0.2258276079005641,0.16637975974629482,10,0.1,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good,good,2,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,False,0.328689068912138,0.21949368921348408,-0.10919537969865392,7,0.14285714285714285,0.5,0.8333333333333334,other_subject_same_task_side
original_frozen_matched_pool,v2_reference,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,good,1,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,True,0.04743572890594248,0.33604441893111386,0.28860869002517137,10,0.1,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,good,good,3,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good,False,1.3254485296083243,0.7885826426869927,-0.5368658869213315,3,0.3333333333333333,0.3333333333333333,0.0,other_subject_same_task_side
original_frozen_matched_pool,v2_reference,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,low_quality,low_quality,4,sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,caution,False,1.2810196469187163,0.6784301235877654,-0.6025895233309508,4,0.25,0.25,0.0,quality_related
original_frozen_matched_pool,v2_reference,sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,low_quality,low_quality,2,sub-gNX5yb|HoldL,sub-gNX5yb,HoldL,L,acceptable,False,0.3309516127494058,0.2331033883113299,-0.09784822443807592,12,0.08333333333333333,0.5,0.9090909090909091,quality_related
original_frozen_matched_pool,v2_reference,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,good,1,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,True,0.04698603144549063,0.5521378186275574,0.5051517871820668,10,0.1,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good,good,1,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good,True,0.3999109609027121,0.6177914265182638,0.2178804656155517,7,0.14285714285714285,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good,good,1,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good,True,0.3832058208194775,0.5770119181814306,0.1938060973619531,10,0.1,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good,good,1,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good,True,0.0357190494441317,0.6531432772288329,0.6174242277847012,3,0.3333333333333333,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,good,good,1,sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,good,True,0.5086171309825672,0.7393396300640819,0.23072249908151465,4,0.25,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable,acceptable,1,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable,True,0.1786997994628672,0.6194608531685637,0.4407610537056965,3,0.3333333333333333,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,good,good,2,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,False,0.38052562311927834,0.2711783865314233,-0.10934723658785506,10,0.1,0.5,0.8888888888888888,other_subject_same_task_side
original_frozen_matched_pool,v2_reference,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good,good,1,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good,True,0.10018823714794972,0.34336722097788325,0.24317898382993353,7,0.14285714285714285,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good,good,1,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good,True,0.008975142068523475,0.14167759660728016,0.13270245453875668,10,0.1,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good,good,2,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good,False,0.35892776496577,0.1955366397063374,-0.1633911252594326,7,0.14285714285714285,0.5,0.8333333333333334,other_subject_same_task_side
original_frozen_matched_pool,v2_reference,sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,good,good,3,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good,False,0.3405021892860632,0.12249395819095711,-0.2180082310951061,10,0.1,0.3333333333333333,0.7777777777777778,other_subject_same_task_side
original_frozen_matched_pool,v2_reference,sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,caution,caution,1,sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,caution,True,0.01081048986779696,0.7395878365369618,0.7287773466691648,5,0.2,1.0,1.0,success
original_frozen_matched_pool,v2_reference,sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,caution,caution,1,sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,caution,True,0.01840082283237839,0.43222294053796495,0.4138221177055866,4,0.25,1.0,1.0,success
