variant_name,query_subject,query_task,query_side,true_rank_among_same_subject_candidates,n_same_subject_candidates,true_beats_all_same_subject_negatives,nearest_same_subject_negative_task,nearest_same_subject_negative_side,distance_true,distance_nearest_same_subject_negative,hard_negative_failure
v2_reference,sub-0cGdk9,HoldL,L,1,2,True,MoveL,L,0.05495877352468829,0.29696076815220485,False
v2_reference,sub-0cGdk9,MoveL,L,1,2,True,HoldL,L,0.05944784815426929,0.2922487067040655,False
v2_reference,sub-2IU8mi,HoldL,L,2,2,False,MoveL,L,0.328689068912138,0.09428384935198941,True
v2_reference,sub-2IU8mi,MoveL,L,1,2,True,HoldL,L,0.04743572890594248,0.25162974013962874,False
v2_reference,sub-2IhVOz,HoldR,R,1,2,True,MoveR,R,1.3254485296083243,1.3425414758322427,False
v2_reference,sub-2IhVOz,MoveR,R,1,2,True,HoldR,R,1.2810196469187163,1.3155976950171535,False
v2_reference,sub-AB2PeX,HoldL,L,2,2,False,MoveL,L,0.3309516127494058,0.2154960297993116,True
v2_reference,sub-AB2PeX,MoveL,L,1,2,True,HoldL,L,0.04698603144549063,0.15563411600856533,False
v2_reference,sub-AbzsOg,HoldL,L,1,2,True,MoveL,L,0.3999109609027121,0.7523307644702362,False
v2_reference,sub-AbzsOg,MoveL,L,2,2,False,HoldL,L,0.3832058208194775,0.173310657939158,True
v2_reference,sub-FIyfdR,HoldR,R,1,2,True,MoveR,R,0.0357190494441317,0.09968903433623194,False
v2_reference,sub-FIyfdR,MoveR,R,2,2,False,HoldR,R,0.5086171309825672,0.44483915703637916,True
v2_reference,sub-FYbcap,HoldL,L,2,2,False,MoveL,L,0.1786997994628672,0.16055104769145143,True
v2_reference,sub-FYbcap,MoveL,L,1,2,True,HoldL,L,0.38052562311927834,0.42072239761412683,False
v2_reference,sub-PuPVlx,HoldL,L,2,2,False,MoveL,L,0.10018823714794972,0.09850418485009556,True
v2_reference,sub-PuPVlx,MoveL,L,1,2,True,HoldL,L,0.008975142068523475,0.03389596922196777,False
v2_reference,sub-QZTsn6,HoldL,L,1,2,True,MoveL,L,0.35892776496577,0.37310729257021186,False
v2_reference,sub-QZTsn6,MoveL,L,2,2,False,HoldL,L,0.3405021892860632,0.334131739307199,True
v2_reference,sub-VopvKx,HoldR,R,2,2,False,MoveR,R,0.01081048986779696,0.01068229411133594,True
v2_reference,sub-VopvKx,MoveR,R,1,2,True,HoldR,R,0.01840082283237839,0.032576473832710985,False
v2_reference,sub-dCsWjQ,HoldL,L,1,2,True,MoveL,L,0.6733716063225099,0.8876373071590722,False
v2_reference,sub-dCsWjQ,MoveL,L,2,2,False,HoldL,L,0.9143766919115247,0.6728637111904646,True
v2_reference,sub-gNX5yb,HoldL,L,2,2,False,MoveL,L,0.27499517040753524,0.08945264250081524,True
v2_reference,sub-gNX5yb,MoveL,L,1,2,True,HoldL,L,0.14962184189454314,0.36591755347169713,False
v2_reference,sub-hnetKS,HoldL,L,2,2,False,MoveL,L,0.2759279162237444,0.135887356713172,True
v2_reference,sub-hnetKS,MoveL,L,1,2,True,HoldL,L,0.2765675627166289,0.4118364719542384,False
v2_reference,sub-i4oK0F,HoldL,L,1,2,True,MoveL,L,0.3170331576323295,0.4116199873957687,False
v2_reference,sub-i4oK0F,MoveL,L,2,2,False,HoldL,L,0.08889767592794051,0.04842242104714591,True
v2_reference,sub-jyC0j3,HoldR,R,2,2,False,MoveR,R,0.3487582428940685,0.08682667746236016,True
v2_reference,sub-jyC0j3,MoveR,R,1,2,True,HoldR,R,0.04317054573313239,0.3073124156938012,False
