candidate_pool_condition,variant_name,query_pair_id,query_subject,query_task,query_side,candidate_set_size,true_rank,top1_true_pair,top1_candidate_pair_id,top1_candidate_subject,top1_candidate_task,top1_candidate_side,top1_same_subject,top1_same_subject_wrong_task_or_side,same_subject_wrong_available,best_same_subject_rank,best_same_subject_wrong_rank,true_beats_same_subject_wrong,best_same_subject_wrong_pair_id,best_same_subject_wrong_task,best_same_subject_wrong_side
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,33,1,True,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,True,False,True,1,2.0,True,sub-0cGdk9|MoveL,MoveL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,33,1,True,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,True,False,True,1,6.0,True,sub-0cGdk9|HoldL,HoldL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,33,5,False,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,True,True,True,1,1.0,False,sub-2IU8mi|MoveL,MoveL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,33,1,True,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,True,False,True,1,2.0,True,sub-2IU8mi|HoldL,HoldL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,33,31,False,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,False,False,True,31,32.0,True,sub-2IhVOz|MoveR,MoveR,R
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,33,30,False,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,False,False,True,30,32.0,True,sub-2IhVOz|HoldR,HoldR,R
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,33,5,False,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,True,True,True,1,1.0,False,sub-AB2PeX|MoveL,MoveL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,33,1,True,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,True,False,True,1,2.0,True,sub-AB2PeX|HoldL,HoldL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,33,2,False,sub-iDpl28|HoldR,sub-iDpl28,HoldR,R,False,False,True,2,12.0,True,sub-AbzsOg|MoveL,MoveL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,33,2,False,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,True,True,True,1,1.0,False,sub-AbzsOg|HoldL,HoldL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,33,1,True,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,True,False,True,1,2.0,True,sub-FIyfdR|MoveR,MoveR,R
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,33,5,False,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,False,False,True,4,4.0,False,sub-FIyfdR|HoldR,HoldR,R
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,33,2,False,sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,True,True,True,1,1.0,False,sub-FYbcap|MoveL,MoveL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,33,6,False,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,False,False,True,6,8.0,True,sub-FYbcap|HoldL,HoldL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,33,2,False,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,True,True,True,1,1.0,False,sub-PuPVlx|MoveL,MoveL,L
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,33,1,True,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,True,False,True,1,2.0,True,sub-PuPVlx|HoldL,HoldL,L
