candidate_pool_condition,variant_name,query_pair_id,query_subject,query_task,query_side,query_quality,true_medon_quality,true_medon_rank,top_ranked_candidate_pair_id,top_ranked_candidate_subject,top_ranked_candidate_task,top_ranked_candidate_side,top_ranked_candidate_quality,top_ranked_is_true_pair,distance_to_true_medon,distance_to_nearest_distractor,retrieval_margin,candidate_set_size,chance_top1,reciprocal_rank,percentile_rank,failure_type
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,good,1,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good,True,-2.1785458959851467,-0.3707132789729943,1.8078326170121524,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good,good,1,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good,True,-1.9513457289460214,-0.7822548397041671,1.1690908892418543,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good,good,5,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,False,0.7945093630523535,-2.0032189807726093,-2.797728343824963,34,0.029411764705882353,0.2,0.8787878787878788,same_subject_wrong_task
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,good,1,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good,True,-2.20031595809895,0.1513494013057709,2.351665359404721,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,good,good,32,sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,caution,False,1032.0,-1.2493262814536445,-1033.2493262814537,34,0.029411764705882353,0.03125,0.06060606060606055,quality_related
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,low_quality,low_quality,31,sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,caution,False,1031.0,-1.0173229091632388,-1032.0173229091633,34,0.029411764705882353,0.03225806451612903,0.09090909090909094,quality_related
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,low_quality,low_quality,4,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,False,0.9192344461325835,-1.3715569579734654,-2.290791404106049,34,0.029411764705882353,0.25,0.9090909090909091,quality_related
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,good,1,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,True,-2.043986275854836,-1.4123305198066392,0.631655756048197,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good,good,2,sub-iDpl28|HoldR,sub-iDpl28,HoldR,R,unknown,False,-0.3922353935564651,-2.4111849261793648,-2.0189495326228997,34,0.029411764705882353,0.5,0.9696969696969697,quality_related
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good,good,2,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good,False,-0.1732053080989484,-2.3705274997616286,-2.19732219166268,34,0.029411764705882353,0.5,0.9696969696969697,same_subject_wrong_task
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-BYJoWR|HoldR,sub-BYJoWR,HoldR,R,unknown,unknown,1,sub-BYJoWR|HoldR,sub-BYJoWR,HoldR,R,unknown,True,-2.4513197737808583,-0.2741648884634365,2.177154885317422,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good,good,1,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good,True,-1.9622127323974392,-1.4190742931120135,0.5431384392854257,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,good,good,5,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,False,1.2389722013146747,-0.6941582863126338,-1.9331304876273085,34,0.029411764705882353,0.2,0.8787878787878788,other_subject_wrong_task
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable,acceptable,1,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable,True,-1.5683239982415391,-1.5537814024996166,0.014542595741922515,34,0.029411764705882353,1.0,1.0,success
all_medon_candidates,v2A_top5_aperiodic_rerank,sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,good,good,6,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good,False,1006.0,-1.9715054020372857,-1007.9715054020373,34,0.029411764705882353,0.16666666666666666,0.8484848484848485,other_subject_same_task_side
