query_pair_id,query_subject,query_task,query_side,feature_group,distance_metric,n_features,n_wrong_candidates,true_distance,best_wrong_distance,mean_wrong_distance,wrong_closer_than_true,true_rank_within_group,margin,best_wrong_pair_id,best_wrong_subject,best_wrong_task,best_wrong_side,best_wrong_quality
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,STN_features,cosine,22,6,0.2728863227605959,0.2520463744410505,0.7746658772859781,True,2,-0.020839948319545387,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,STN_features,zscored_euclidean,22,6,3.587855470328421,2.9536201366649877,4.280620309422738,True,4,-0.6342353336634332,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,STN_features,cosine,22,9,0.6090156249144625,0.5054379300567923,1.11635611891467,True,3,-0.10357769485767021,sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,good
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,STN_features,zscored_euclidean,22,9,3.6382451259318884,4.600803296321135,6.402816524597887,False,1,0.9625581703892463,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,STN_features,cosine,22,6,0.1685678234875605,0.6834652320071789,1.113726873290017,False,1,0.5148974085196184,sub-hnetKS|HoldL,sub-hnetKS,HoldL,L,good
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,STN_features,zscored_euclidean,22,6,1.6401875755806428,3.204973704178411,5.163559204167839,False,1,1.5647861285977682,sub-hnetKS|HoldL,sub-hnetKS,HoldL,L,good
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,STN_features,cosine,22,9,0.18033339900559364,0.18930259512069147,1.0067910034053622,False,1,0.008969196115097833,sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,good
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,STN_features,zscored_euclidean,22,9,1.778580778606126,2.5676578693987198,5.572737947024544,False,1,0.7890770907925937,sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,STN_features,cosine,22,2,1.0697967154983077,0.9590092781033109,1.0235997500038716,True,2,-0.11078743739499675,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,STN_features,zscored_euclidean,22,2,17.06051267008716,4.775706265395178,7.213798708489373,True,3,-12.284806404691981,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,STN_features,cosine,22,3,0.916493902994877,0.9186563152983422,1.1610568886628896,False,1,0.0021624123034652554,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,STN_features,zscored_euclidean,22,3,16.012820984829588,5.323553052532798,6.151636665764319,True,4,-10.68926793229679,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,STN_features,cosine,22,11,0.09427708620646535,0.3106682684075531,1.138269561186317,False,1,0.21639118220108777,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,STN_features,zscored_euclidean,22,11,3.9699122072543394,2.5593117917263064,5.270162510951587,True,3,-1.410600415528033,sub-hnetKS|HoldL,sub-hnetKS,HoldL,L,good
sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,STN_features,cosine,22,9,0.1688439689872947,0.1647446419338554,1.0710837658883212,True,2,-0.0040993270534392945,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,STN_features,zscored_euclidean,22,9,6.342104465884857,2.3420216694439255,5.872081309682252,True,6,-4.000082796440932,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,STN_features,cosine,22,6,1.128283733141474,0.3231921418243744,1.1043690873707852,True,4,-0.8050915913170995,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,STN_features,zscored_euclidean,22,6,5.803828045568399,3.7170258601169004,6.026418713631377,True,3,-2.0868021854514986,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,STN_features,cosine,22,9,0.25851313269885257,0.5316404565218875,0.9516404301642402,False,1,0.27312732382303495,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,STN_features,zscored_euclidean,22,9,2.548766117336211,2.3943892227053216,5.309524174761445,True,2,-0.15437689463088944,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,STN_features,cosine,22,2,0.14872875694448295,0.8183494837623803,0.9009977338897277,False,1,0.6696207268178973,sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,good
sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,STN_features,zscored_euclidean,22,2,4.526563155750574,5.320283010192111,8.835492424780806,False,1,0.7937198544415374,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,STN_features,cosine,22,3,0.6260647874693042,0.4111048116800541,1.3218590582989067,True,2,-0.21495997578925008,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,low_quality
sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,STN_features,zscored_euclidean,22,3,6.2481746357968895,7.9083894232584955,8.6740062678477,False,1,1.660214787461606,sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,caution
sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,STN_features,cosine,22,2,0.5551161210594111,0.7418643198735035,1.0387263343415691,False,1,0.18674819881409244,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,acceptable
sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,STN_features,zscored_euclidean,22,2,6.558408182897071,3.5355958258456672,4.943119032378675,True,3,-3.0228123570514036,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,acceptable
sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,STN_features,cosine,22,9,0.19905531167058998,0.4399033580535209,1.0159613446638904,False,1,0.2408480463829309,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,STN_features,zscored_euclidean,22,9,4.787844286365127,4.074234107437901,6.672927352956858,True,3,-0.713610178927226,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,STN_features,cosine,22,6,0.17566472628545027,0.2146956083174354,0.7665948167908191,False,1,0.039030882031985126,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good
sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,STN_features,zscored_euclidean,22,6,2.877081063207236,3.393303752923075,5.305502497424354,False,1,0.5162226897158391,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good
sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,STN_features,cosine,22,9,0.09499816818446993,0.2665575164724199,1.0226343534350728,False,1,0.17155934828794994,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good
sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,STN_features,zscored_euclidean,22,9,2.7646585089583966,3.1711651473224993,6.708117010259392,False,1,0.4065066383641027,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good
sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,STN_features,cosine,22,6,0.9326241677095717,0.1620699426404797,0.6741032693283205,True,5,-0.770554225069092,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,STN_features,zscored_euclidean,22,6,7.340791131640024,3.094922250142885,5.34935922530902,True,7,-4.245868881497138,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,STN_features,cosine,22,9,0.9414168578271671,0.12984480649070107,0.9748475547121342,True,4,-0.811572051336466,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good
sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,STN_features,zscored_euclidean,22,9,8.630665970577724,2.9862974275991956,7.188709417369801,True,8,-5.644368542978528,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good
sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,STN_features,cosine,22,4,0.22909149422617336,0.5465727062360786,1.3574666481030155,False,1,0.3174812120099052,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,STN_features,zscored_euclidean,22,4,1.7695610239449566,2.265957963440368,7.83358833035564,False,1,0.4963969394954115,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,STN_features,cosine,22,3,0.14878622159215393,0.22035789116999038,0.9130332459595273,False,1,0.07157166957783645,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,STN_features,zscored_euclidean,22,3,1.3364119390203881,1.9262550554550115,6.621205674737592,False,1,0.5898431164346234,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,STN_features,cosine,22,6,0.7269219529410855,0.31985932792803384,0.8292247691997033,True,5,-0.4070626250130517,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,STN_features,zscored_euclidean,22,6,4.683102898449831,2.1910917098257547,4.032845243041431,True,5,-2.492011188624076,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,STN_features,cosine,22,9,1.0062759473818605,0.15022092234589657,0.8972834700071962,True,7,-0.856055025035964,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,STN_features,zscored_euclidean,22,9,5.519199307990445,1.961521780708287,5.312077033804474,True,6,-3.5576775272821584,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-gNX5yb|HoldL,sub-gNX5yb,HoldL,L,STN_features,cosine,22,2,0.1973014104284162,0.7340433771590511,0.7557944474773391,False,1,0.5367419667306349,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable
sub-gNX5yb|HoldL,sub-gNX5yb,HoldL,L,STN_features,zscored_euclidean,22,2,2.95170036673309,4.208214247011736,5.28165359397434,False,1,1.2565138802786464,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,acceptable
sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,STN_features,cosine,22,9,0.3124192421883929,0.375519085125946,0.9371673610016052,False,1,0.06309984293755311,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,STN_features,zscored_euclidean,22,9,3.342555835281594,3.090815196895843,6.10817279402462,True,2,-0.2517406383857512,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-hnetKS|HoldL,sub-hnetKS,HoldL,L,STN_features,cosine,22,6,0.23731522328778942,0.3437391295890203,1.3101884561301047,False,1,0.10642390630123089,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-hnetKS|HoldL,sub-hnetKS,HoldL,L,STN_features,zscored_euclidean,22,6,4.422307967697878,4.746451220675718,8.002959127406871,False,1,0.32414325297783986,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,STN_features,cosine,22,9,0.08314075966076928,0.06835970533083435,1.0504512037743718,True,2,-0.014781054329934928,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good
sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,STN_features,zscored_euclidean,22,9,3.1711543700308464,3.656619882151767,7.75833194323825,False,1,0.4854655121209204,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good
sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,STN_features,cosine,22,2,0.35219340194220483,0.686153393209519,0.9909741947759291,False,1,0.3339599912673141,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable
sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,STN_features,zscored_euclidean,22,2,2.197475545951355,5.548743547215615,5.720040303222449,False,1,3.35126800126426,sub-gNX5yb|HoldL,sub-gNX5yb,HoldL,L,acceptable
sub-i4oK0F|MoveL,sub-i4oK0F,MoveL,L,STN_features,cosine,22,11,0.2218218195281061,0.3781695758432706,0.8872995102155179,False,1,0.1563477563151645,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-i4oK0F|MoveL,sub-i4oK0F,MoveL,L,STN_features,zscored_euclidean,22,11,2.333948395678635,1.7848441103352404,4.809679596579591,True,2,-0.5491042853433947,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-iDpl28|HoldR,sub-iDpl28,HoldR,R,STN_features,cosine,22,4,0.1476412324843983,0.23669426593366683,0.8342898058968893,False,1,0.08905303344926851,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good
sub-iDpl28|HoldR,sub-iDpl28,HoldR,R,STN_features,zscored_euclidean,22,4,3.80639588459792,2.8150609759221448,6.226845864224039,True,2,-0.9913349086757752,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
